Canonical?,Code,Type,Curated?,Term,Select for,Changes starting with 2015 cases
TRUE,8000/0,Rpt select for,,"Neoplasm, benign","Brain, CNS, and Pituitary",
FALSE,8000/0,Rpt select for,,"Tumor, benign","Brain, CNS, and Pituitary",
FALSE,8000/0,Rpt select for,,"Unclassified tumor, benign","Brain, CNS, and Pituitary",
FALSE,8000/1,Rpt select for,,"Neoplasm, NOS","Brain, CNS, and Pituitary",
TRUE,8000/1,Rpt select for,,"Neoplasm, uncertain whether benign or malignant","Brain, CNS, and Pituitary",
FALSE,8000/1,Rpt select for,,"Tumor, NOS","Brain, CNS, and Pituitary",
FALSE,8000/1,Rpt select for,,"Unclassified tumor, borderline malignancy",,
FALSE,8000/1,Rpt select for,,"Unclassified tumor, uncertain whether benign or malignant","Brain, CNS, and Pituitary",
FALSE,8000/3,Rpt exclude skin,,"Blastoma, NOS",,
FALSE,8000/3,Rpt exclude skin,,Cancer,,
FALSE,8000/3,Rpt exclude skin,,Malignancy,,
TRUE,8000/3,Rpt exclude skin,,"Neoplasm, malignant",,
FALSE,8000/3,Rpt exclude skin,,"Tumor, malignant, NOS",,
FALSE,8000/3,Rpt exclude skin,,"Unclassified tumor, malignant",,
TRUE,8000/6,Rpt exclude skin,,Metastatic,,
FALSE,8000/6,Rpt exclude skin,,"Neoplasm, secondary",,
FALSE,8000/6,Rpt exclude skin,,Tumor embolus,,
FALSE,8000/6,Rpt exclude skin,,"Tumor, metastatic",,
FALSE,8000/6,Rpt exclude skin,,"Tumor, secondary",,
TRUE,8000/9,Rpt exclude skin,,"Neoplasm, malignant, uncertain whether primary or metastatic",,
FALSE,8000/9,Rpt exclude skin,,"Unclassified tumor, malignant, uncertain whether primary or metastatic",,
TRUE,8001/0,,,"Tumor cells, benign",,
FALSE,8001/1,,,"Tumor cells, NOS",,
TRUE,8001/1,,,"Tumor cells, uncertain whether benign or malignant",,
TRUE,8001/3,Rpt exclude skin,,"Tumor cells, malignant",,
TRUE,8002/3,Rpt exclude skin,,"Malignant tumor, small cell type",,
TRUE,8003/3,Rpt exclude skin,,"Malignant tumor, giant cell type",,
FALSE,8004/3,Rpt exclude skin,,"Malignant tumor, fusiform cell type",,
TRUE,8004/3,Rpt exclude skin,,"Malignant tumor, spindle cell type",,
TRUE,8005/0,,,"Clear cell tumor, NOS",,
TRUE,8005/3,Rpt exclude skin,,"Malignant tumor, clear cell type",,
TRUE,8010/0,,,"Epithelial tumor, benign",,
TRUE,8010/2,Rpt exclude skin,,"Carcinoma in situ, NOS",,
FALSE,8010/2,Rpt exclude skin,,"Intraepithelial carcinoma, NOS",,
TRUE,8010/3,Rpt exclude skin,,"Carcinoma, NOS",,
FALSE,8010/3,Rpt exclude skin,,"Epithelial tumor, malignant",,
TRUE,8010/6,Rpt exclude skin,,"Carcinoma, metastatic, NOS",,
FALSE,8010/6,Rpt exclude skin,,Secondary carcinoma,,
TRUE,8010/9,Rpt exclude skin,,Carcinomatosis,,
TRUE,8011/0,,,"Epithelioma, benign",,
TRUE,8011/3,Rpt exclude skin,,"Epithelioma, malignant",,
FALSE,8011/3,Rpt exclude skin,,"Epithelioma, NOS",,
TRUE,8012/3,Rpt exclude skin,,"Large cell carcinoma, NOS",,
TRUE,8013/3,Rpt exclude skin,,Large cell neuroendocrine carcinoma,,
TRUE,8014/3,Rpt exclude skin,,Large cell carcinoma with rhabdoid phenotype,,
TRUE,8015/3,Rpt exclude skin,,Glassy cell carcinoma,,
TRUE,8020/3,Rpt exclude skin,,"Carcinoma, undifferentiated, NOS",,
TRUE,8021/3,Rpt exclude skin,,"Carcinoma, anaplastic, NOS",,
TRUE,8022/3,Rpt exclude skin,,Pleomorphic carcinoma,,
TRUE,8030/3,Rpt exclude skin,,Giant cell and spindle cell carcinoma,,
TRUE,8850/0,,,"Lipoma, NOS",,
TRUE,8850/1,,,Atypical lipoma,,
FALSE,8850/1,,,Superficial well differentated liposarcoma,,
FALSE,8850/1,,,Well differentiated liposarcoma of superficial soft tissue,,
FALSE,8850/3,Rpt,,Fibroliposarcoma,,
TRUE,8850/3,Rpt,,"Liposarcoma, NOS",,
