diagnosis_name,icdo3_code,synonym_name
"neoplasm, benign",8000/0,"tumor, benign"
"neoplasm, benign",8000/0,"unclassified tumor, benign"
"neoplasm, benign",8000/0,benign neoplasm
"neoplasm, benign",8000/0,neoplasm benign
"neoplasm, benign",8000/0,benign tumor
"neoplasm, benign",8000/0,tumor benign
"neoplasm, benign",8000/0,benign unclassified tumor
"neoplasm, benign",8000/0,unclassified tumor benign
"neoplasm, uncertain whether benign or malignant",8000/1,"neoplasm, nos"
"neoplasm, uncertain whether benign or malignant",8000/1,"tumor, nos"
"neoplasm, uncertain whether benign or malignant",8000/1,"unclassified tumor, uncertain whether benign or malignant"
"neoplasm, uncertain whether benign or malignant",8000/1,"unclassified tumor, borderline malignancy"
"neoplasm, uncertain whether benign or malignant",8000/1,uncertain whether benign or malignant neoplasm
"neoplasm, uncertain whether benign or malignant",8000/1,neoplasm uncertain whether benign or malignant
"neoplasm, uncertain whether benign or malignant",8000/1,neoplasm
"neoplasm, uncertain whether benign or malignant",8000/1,tumor
"neoplasm, uncertain whether benign or malignant",8000/1,uncertain whether benign or malignant unclassified tumor
"neoplasm, uncertain whether benign or malignant",8000/1,unclassified tumor uncertain whether benign or malignant
"neoplasm, uncertain whether benign or malignant",8000/1,borderline malignancy unclassified tumor
"neoplasm, uncertain whether benign or malignant",8000/1,unclassified tumor borderline malignancy
"neoplasm, malignant",8000/3,"tumor, malignant, nos"
"neoplasm, malignant",8000/3,malignancy
"neoplasm, malignant",8000/3,cancer
"neoplasm, malignant",8000/3,"unclassified tumor, malignant"
"neoplasm, malignant",8000/3,"blastoma, nos"
"neoplasm, malignant",8000/3,malignant neoplasm
"neoplasm, malignant",8000/3,neoplasm malignant
"neoplasm, malignant",8000/3,malignant tumor
"neoplasm, malignant",8000/3,tumor malignant
"neoplasm, malignant",8000/3,malignant unclassified tumor
"neoplasm, malignant",8000/3,unclassified tumor malignant
"neoplasm, malignant",8000/3,blastoma
"neoplasm, metastatic",8000/6,"neoplasm, secondary"
"neoplasm, metastatic",8000/6,"tumor, metastatic"
"neoplasm, metastatic",8000/6,"tumor, secondary"
"neoplasm, metastatic",8000/6,tumor embolus
"neoplasm, metastatic",8000/6,metastatic neoplasm
"neoplasm, metastatic",8000/6,neoplasm metastatic
"neoplasm, metastatic",8000/6,secondary neoplasm
"neoplasm, metastatic",8000/6,neoplasm secondary
"neoplasm, metastatic",8000/6,metastatic tumor
"neoplasm, metastatic",8000/6,tumor metastatic
"neoplasm, metastatic",8000/6,secondary tumor
"neoplasm, metastatic",8000/6,tumor secondary
"neoplasm, malignant, uncertain whether primary or metastatic",8000/9,"unclassified tumor, malignant, uncertain whether primary or metastatic"
"neoplasm, malignant, uncertain whether primary or metastatic",8000/9,uncertain whether primary or metastatic malignant neoplasm
"neoplasm, malignant, uncertain whether primary or metastatic",8000/9,neoplasm malignant uncertain whether primary or metastatic
"neoplasm, malignant, uncertain whether primary or metastatic",8000/9,uncertain whether primary or metastatic malignant unclassified tumor
"neoplasm, malignant, uncertain whether primary or metastatic",8000/9,unclassified tumor malignant uncertain whether primary or metastatic
"tumor cells, benign",8001/0,benign tumor cells
"tumor cells, benign",8001/0,tumor cells benign
"tumor cells, uncertain whether benign or malignant",8001/1,"tumor cells, nos"
"tumor cells, uncertain whether benign or malignant",8001/1,uncertain whether benign or malignant tumor cells
"tumor cells, uncertain whether benign or malignant",8001/1,tumor cells uncertain whether benign or malignant
"tumor cells, uncertain whether benign or malignant",8001/1,tumor cells
"tumor cells, malignant",8001/3,malignant tumor cells
"tumor cells, malignant",8001/3,tumor cells malignant
"malignant tumor, small cell type",8002/3,small cell type malignant tumor
"malignant tumor, small cell type",8002/3,malignant tumor small cell type
"malignant tumor, giant cell type",8003/3,giant cell type malignant tumor
"malignant tumor, giant cell type",8003/3,malignant tumor giant cell type
"malignant tumor, spindle cell type",8004/3,"malignant tumor, fusiform cell type"
"malignant tumor, spindle cell type",8004/3,spindle cell type malignant tumor
"malignant tumor, spindle cell type",8004/3,malignant tumor spindle cell type
"malignant tumor, spindle cell type",8004/3,fusiform cell type malignant tumor
"malignant tumor, spindle cell type",8004/3,malignant tumor fusiform cell type
"clear cell tumor, nos",8005/0,clear cell tumor
"malignant tumor, clear cell type",8005/3,clear cell type malignant tumor
"malignant tumor, clear cell type",8005/3,malignant tumor clear cell type
"epithelial tumor, benign",8010/0,benign epithelial tumor
"epithelial tumor, benign",8010/0,epithelial tumor benign
"carcinoma in situ, nos",8010/2,"intraepithelial carcinoma, nos"
"carcinoma in situ, nos",8010/2,carcinoma in situ
"carcinoma in situ, nos",8010/2,intraepithelial carcinoma
"carcinoma, nos",8010/3,"epithelial tumor, malignant"
"carcinoma, nos",8010/3,carcinoma
"carcinoma, nos",8010/3,malignant epithelial tumor
"carcinoma, nos",8010/3,epithelial tumor malignant
"carcinoma, metastatic, nos",8010/6,secondary carcinoma
"carcinoma, metastatic, nos",8010/6,metastatic carcinoma
"carcinoma, metastatic, nos",8010/6,carcinoma metastatic
"epithelioma, benign",8011/0,benign epithelioma
"epithelioma, benign",8011/0,epithelioma benign
"epithelioma, malignant",8011/3,"epithelioma, nos"
"epithelioma, malignant",8011/3,malignant epithelioma
"epithelioma, malignant",8011/3,epithelioma malignant
"epithelioma, malignant",8011/3,epithelioma
"large cell carcinoma, nos",8012/3,large cell carcinoma
"carcinoma, undifferentiated, nos",8020/3,undifferentiated carcinoma
"carcinoma, undifferentiated, nos",8020/3,carcinoma undifferentiated
"carcinoma, anaplastic, nos",8021/3,anaplastic carcinoma
"carcinoma, anaplastic, nos",8021/3,carcinoma anaplastic
"spindle cell carcinoma, nos",8032/3,spindle cell carcinoma
pseudosarcomatous carcinoma,8033/3,sarcomatoid carcinoma
"tumorlet, benign",8040/0,benign tumorlet
"tumorlet, benign",8040/0,tumorlet benign
"tumorlet, nos",8040/1,tumorlet
"small cell carcinoma, nos",8041/3,reserve cell carcinoma
"small cell carcinoma, nos",8041/3,round cell carcinoma
"small cell carcinoma, nos",8041/3,small cell neuroendocrine carcinoma
"small cell carcinoma, nos",8041/3,small cell carcinoma
"small cell carcinoma, fusiform cell",8043/3,fusiform cell small cell carcinoma
"small cell carcinoma, fusiform cell",8043/3,small cell carcinoma fusiform cell
"small cell carcinoma, intermediate cell",8044/3,intermediate cell small cell carcinoma
"small cell carcinoma, intermediate cell",8044/3,small cell carcinoma intermediate cell
combined small cell carcinoma,8045/3,mixed small cell carcinoma
combined small cell carcinoma,8045/3,combined small cell-large cell carcinoma
combined small cell carcinoma,8045/3,combined small cell-adenocarcinoma
combined small cell carcinoma,8045/3,combined small cell-squamous cell carcinoma
"papilloma, nos",8050/0,papilloma
"papillary carcinoma, nos",8050/3,papillary carcinoma
"verrucous carcinoma, nos",8051/3,condylomatous carcinoma
