Column #	Length	Item #	Item Name	Section
1 - 1	1	10	Record Type	Record ID
2 - 2	1	30	Registry Type	Record ID
3 - 16	14	37	Reserved 00	Record ID
17 - 19	3	50	NAACCR Record Version	Record ID
20 - 29	10	45	NPI--Registry ID	Record ID
30 - 39	10	40	Registry ID	Record ID
40 - 41	2	60	Tumor Record Number	Record ID
42 - 49	8	20	Patient ID Number	Record ID
50 - 57	8	21	Patient System ID-Hosp	Record ID
58 - 94	37	370	Reserved 01	Record ID
95 - 144	50	70	Addr at DX--City	Demographic
145 - 146	2	80	Addr at DX--State	Demographic
147 - 155	9	100	Addr at DX--Postal Code	Demographic
156 - 158	3	90	County at DX	Demographic
159 - 164	6	110	Census Tract 1970/80/90	Demographic
165 - 165	1	368	Census Block Grp 1970-90	Demographic
166 - 166	1	120	Census Cod Sys 1970/80/90	Demographic
167 - 167	1	364	Census Tr Cert 1970/80/90	Demographic
168 - 173	6	130	Census Tract 2000	Demographic
174 - 174	1	362	Census Block Group 2000	Demographic
175 - 175	1	365	Census Tr Certainty 2000	Demographic
176 - 176	1	150	Marital Status at DX	Demographic
177 - 178	2	160	Race 1	Demographic
179 - 180	2	161	Race 2	Demographic
181 - 182	2	162	Race 3	Demographic
183 - 184	2	163	Race 4	Demographic
185 - 186	2	164	Race 5	Demographic
187 - 187	1	170	Race Coding Sys--Current	Demographic
188 - 188	1	180	Race Coding Sys--Original	Demographic
189 - 189	1	190	Spanish/Hispanic Origin	Demographic
190 - 190	1	200	Computed Ethnicity	Demographic
191 - 191	1	210	Computed Ethnicity Source	Demographic
192 - 192	1	220	Sex	Demographic
193 - 195	3	230	Age at Diagnosis	Demographic
196 - 203	8	240	Date of Birth	Demographic
204 - 205	2	241	Date of Birth Flag	Demographic
206 - 208	3	250	Birthplace	Demographic
209 - 211	3	270	Census Occ Code 1970-2000	Demographic
212 - 214	3	280	Census Ind Code 1970-2000	Demographic
215 - 215	1	290	Occupation Source	Demographic
216 - 216	1	300	Industry Source	Demographic
217 - 316	100	310	Text--Usual Occupation	Demographic
317 - 416	100	320	Text--Usual Industry	Demographic
417 - 417	1	330	Census Occ/Ind Sys 70-00	Demographic
418 - 418	1	191	NHIA Derived Hisp Origin	Demographic
419 - 420	2	193	Race--NAPIIA(derived API)	Demographic
421 - 421	1	192	IHS Link	Demographic
422 - 423	2	366	GIS Coordinate Quality	Demographic
424 - 425	2	3300	RuralUrban Continuum 1993	Demographic
426 - 427	2	3310	RuralUrban Continuum 2003	Demographic
428 - 433	6	135	Census Tract 2010	Demographic
434 - 434	1	363	Census Block Group 2010	Demographic
435 - 435	1	367	Census Tr Certainty 2010	Demographic
436 - 438	3	102	Addr at DX--Country	Demographic
439 - 441	3	1832	Addr Current--Country	Demographic
442 - 443	2	252	Birthplace--State	Demographic
444 - 446	3	254	Birthplace--Country	Demographic
447 - 449	3	1847	FollowUp Contact--Country	Demographic
450 - 451	2	1942	Place of Death--State	Demographic
452 - 454	3	1944	Place of Death--Country	Demographic
455 - 458	4	272	Census Ind Code 2010	Demographic
459 - 462	4	282	Census Occ Code 2010	Demographic
463 - 463	1	145	Census Tr Poverty Indictr	Demographic
464 - 527	64	530	Reserved 02	Demographic
528 - 529	2	380	Sequence Number--Central	Cancer Identification
530 - 537	8	390	Date of Diagnosis	Cancer Identification
