Code,Type,Term,Select for,Changes starting with 2015 cases,,,,,
8000/0,Rpt select for,"Neoplasm, benign","Brain, CNS, and Pituitary",,,,,,
8000/0,Rpt select for,"Tumor, benign","Brain, CNS, and Pituitary",,,,,,
8000/0,Rpt select for,"Unclassified tumor, benign","Brain, CNS, and Pituitary",,,,,,
8000/1,Rpt select for,"Neoplasm, uncertain whether benign or malignant","Brain, CNS, and Pituitary",,,,,,
8000/1,Rpt select for,"Neoplasm, NOS","Brain, CNS, and Pituitary",,,,,,
8000/1,Rpt select for,"Tumor, NOS","Brain, CNS, and Pituitary",,,,,,
8000/1,Rpt select for,"Unclassified tumor, uncertain whether benign or malignant","Brain, CNS, and Pituitary",,,,,,
8000/1,Rpt select for,"Unclassified tumor, borderline malignancy",,,,,,,
8000/3,Rpt exclude skin,"Neoplasm, malignant",,,,,,,
8000/3,Rpt exclude skin,"Tumor, malignant, NOS",,,,,,,
8000/3,Rpt exclude skin,Malignancy,,,,,,,
8000/3,Rpt exclude skin,Cancer,,,,,,,
8000/3,Rpt exclude skin,"Unclassified tumor, malignant",,,,,,,
8000/3,Rpt exclude skin,"Blastoma, NOS",,,,,,,
8000/6,Rpt exclude skin,Metastatic,,,,,,,
8000/6,Rpt exclude skin,"Neoplasm, secondary",,,,,,,
8000/6,Rpt exclude skin,"Tumor, metastatic",,,,,,,
8000/6,Rpt exclude skin,"Tumor, secondary",,,,,,,
8000/6,Rpt exclude skin,Tumor embolus,,,,,,,
8000/9,Rpt exclude skin,"Neoplasm, malignant, uncertain whether primary or metastatic",,,,,,,
8000/9,Rpt exclude skin,"Unclassified tumor, malignant, uncertain whether primary or metastatic",,,,,,,
8001/0,,"Tumor cells, benign",,,,,,,
8001/1,,"Tumor cells, uncertain whether benign or malignant",,,,,,,
8001/1,,"Tumor cells, NOS",,,,,,,
8001/3,Rpt exclude skin,"Tumor cells, malignant",,,,,,,
8002/3,Rpt exclude skin,"Malignant tumor, small cell type",,,,,,,
8003/3,Rpt exclude skin,"Malignant tumor, giant cell type",,,,,,,
8004/3,Rpt exclude skin,"Malignant tumor, spindle cell type",,,,,,,
8004/3,Rpt exclude skin,"Malignant tumor, fusiform cell type",,,,,,,
8005/0,,"Clear cell tumor, NOS",,,,,,,
8005/3,Rpt exclude skin,"Malignant tumor, clear cell type",,,,,,,
8010/0,,"Epithelial tumor, benign",,,,,,,
8010/2,Rpt exclude skin,"Carcinoma in situ, NOS",,,,,,,
8010/2,Rpt exclude skin,"Intraepithelial carcinoma, NOS",,,,,,,
8010/3,Rpt exclude skin,"Carcinoma, NOS",,,,,,,
8010/3,Rpt exclude skin,"Epithelial tumor, malignant",,,,,,,
8010/6,Rpt exclude skin,"Carcinoma, metastatic, NOS",,,,,,,
8010/6,Rpt exclude skin,Secondary carcinoma,,,,,,,
8010/9,Rpt exclude skin,Carcinomatosis,,,,,,,
8011/0,,"Epithelioma, benign",,,,,,,
8011/3,Rpt exclude skin,"Epithelioma, malignant",,,,,,,
8011/3,Rpt exclude skin,"Epithelioma, NOS",,,,,,,
8012/3,Rpt exclude skin,"Large cell carcinoma, NOS",,,,,,,
8013/3,Rpt exclude skin,Large cell neuroendocrine carcinoma,,,,,,,
8014/3,Rpt exclude skin,Large cell carcinoma with rhabdoid phenotype,,,,,,,
8015/3,Rpt exclude skin,Glassy cell carcinoma,,,,,,,
8020/3,Rpt exclude skin,"Carcinoma, undifferentiated, NOS",,,,,,,
8021/3,Rpt exclude skin,"Carcinoma, anaplastic, NOS",,,,,,,
8022/3,Rpt exclude skin,Pleomorphic carcinoma,,,,,,,
8030/3,Rpt exclude skin,Giant cell and spindle cell carcinoma,,,,,,,
8031/3,Rpt exclude skin,Giant cell carcinoma,,,,,,,
8032/3,Rpt exclude skin,"Spindle cell carcinoma, NOS",,,,,,,
8033/3,Rpt exclude skin,Pseudosarcomatous carcinoma,,,,,,,
8033/3,Rpt exclude skin,Sarcomatoid carcinoma,,,,,,,
8034/3,Rpt exclude skin,Polygonal cell carcinoma,,,,,,,
8035/3,Rpt exclude skin,Carcinoma with osteoclast-like giant cells,,,,,,,
8040/0,,"Tumorlet, benign",,,,,,,
8040/1,,"Tumorlet, NOS",,,,,,,
8041/3,Rpt exclude skin,"Small cell carcinoma, NOS",,,,,,,
8041/3,Rpt exclude skin,Reserve cell carcinoma,,,,,,,
8041/3,Rpt exclude skin,Round cell carcinoma,,,,,,,
8041/3,Rpt exclude skin,Small cell neuroendocrine carcinoma,,,,,,,
8042/3,Rpt exclude skin,Oat cell carcinoma,,,,,,,
8043/3,Rpt exclude skin,"Small cell carcinoma, fusiform cell",,,,,,,
8044/3,Rpt exclude skin,"Small cell carcinoma, intermediate cell",,,,,,,
8045/3,Rpt exclude skin,Combined small cell carcinoma,,,,,,,
8045/3,Rpt exclude skin,Mixed small cell carcinoma,,,,,,,
8045/3,Rpt exclude skin,Combined small cell-large cell carcinoma,,,,,,,
8045/3,Rpt exclude skin,Combined small cell-adenocarcinoma,,,,,,,
8045/3,Rpt exclude skin,Combined small cell-squamous cell carcinoma,,,,,,,
8046/3,Rpt exclude skin,Non-small cell carcinoma,,,,,,,
8050/0,,"Papilloma, NOS",,,,,,,
8050/2,Rpt exclude skin,Papillary carcinoma in situ,,,,,,,
8050/3,Rpt exclude skin,"Papillary carcinoma, NOS",,,,,,,
8051/0,,Verrucous papilloma,,,,,,,
8051/3,Rpt exclude skin,"Verrucous carcinoma, NOS",,,,,,,
8051/3,Rpt exclude skin,Condylomatous carcinoma,,,,,,,
8051/3,Rpt exclude skin,Verrucous squamous cell carcinoma,,,,,,,
8051/3,Rpt exclude skin,Verrucous epidermoid carcinoma,,,,,,,
